순번,회사명,공장대표주소(도로명),업종번호,업종명
142,(주)대산플랜트,충청남도 아산시 신창면 행목로 11-27,"29176, ","증류기, 열교환기 및 가스발생기 제조업"
143,(주)대산플랜트,충청남도 아산시 행목로 11 -25(신창면),"29176, ","증류기, 열교환기 및 가스발생기 제조업"
144,(주)대산하이텍,충청남도 아산시 영인면 아산호로840번길 116-5 (대산하이텍),"17124, 18113, 18119","적층, 합성 및 특수표면처리 종이 제조업 외 2 종"
145,(주)대성스틸,충청남도 아산시 인주면 인주산단로 123-80,"24199, ",그 외 기타 1차 철강 제조업
146,(주)대성오토텍,충청남도 아산시 둔포면 아산호로808번길 11,"30399, ",그 외 자동차용 신품 부품 제조업
147,(주)대성정공,충청남도 아산시 관용로 276 (음봉면),"29294, ",주형 및 금형 제조업
148,(주)대성피앤에스,"충청남도 아산시 호서로 2 (배방읍, HG.TEOCH)","22212, 22213",플라스틱 필름 제조업 외 1 종
149,(주)대성피앤티,충청남도 아산시 둔포면 아산호로808번길 3,"22292, ","플라스틱 적층, 도포 및 기타 표면처리 제품 제조업"
150,(주)대성호이스트부품,충청남도 아산시 음봉면 음봉면로30번길 96,"29169, ",기타 물품 취급장비 제조업
151,(주)대신 아산대신공장,충청남도 아산시 둔포면 해위안길 72-32,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
152,(주)대신기업,"충청남도 아산시 염치읍 아산로 645-42, (염성리 129-15번지)","29172, ",공기 조화장치 제조업
153,(주)대신이앤씨,충청남도 아산시 선장면 서부남로 211 (대신산업),"25991, ",금속 캔 및 기타 포장용기 제조업
154,(주)대양이엔지,충청남도 아산시 둔포면 석곡리 1951번지,"29173, ",산업용 송풍기 및 배기장치 제조업
155,(주)대연,충청남도 아산시 도고면 도송로 23,"22211, 22249, 29294","플라스틱 선, 봉, 관 및 호스 제조업 외 2 종"
156,(주)대영에스지,충청남도 아산시 둔포면 아산밸리로388번길 48-9,"29223, 25929",금속 절삭기계 제조업 외 1 종
157,(주)대영이엔씨,충청남도 아산시 음봉면 산동로 141,"24132, 25113",강관 제조업 외 1 종
158,(주)대영이엔씨 4공장,충청남도 아산시 둔포면 윤보선로336번길 71-8,"24132, 25113",강관 제조업 외 1 종
