순번,단지명,회사명,공장대표주소(도로명),공장대표주소(지번),업종명,관할조직명,설립구분,생산품,주원자재
6984,달성2차일반산업단지,상성정밀,대구광역시 달성군 구지면 달성2차동3로 63,대구광역시 달성군 구지면 예현리 763-9,금속 성형기계 제조업,한국산업단지공단 대구지역본부 달성사무소,일반산업단지,펀칭기계,"철강, 텅스텐 합금(초경합금)"
6985,서대구일반산업단지,상승 (기숙사),"대구광역시 서구 와룡로 307, 11층 1104호(중리동) 11층 1104호",대구광역시 서구 중리동 1166-1 11층 1104호 11층 1104호,전자상거래 소매업,서대구산업단지관리공단,일반산업단지,전자상거래,
6986,성서지방산업단지,상승테크,"대구광역시 달서구 성서공단로39길 27, 2층 205 (갈산동) 2층 205호",대구광역시 달서구 갈산동 358-180번지 2층 205 2층 205호,그 외 기타 금속가공업,대구성서산업단지관리공단,일반산업단지,금형수리,철
6987,성서지방산업단지,상신공업사,"대구광역시 달서구 성서동로 51-7, 2차단지 42B 14L (월암동)",대구광역시 달서구 월암동 925-12번지,모터사이클 제조업 외 1 종,대구성서산업단지관리공단,일반산업단지,이륜차 에어크리너,"폴리에스텔, P.P"
6988,달성일반산업단지,상신브레이크(주),대구광역시 달성군 논공읍 논공중앙로33길 10 (총 4 필지),대구광역시 달성군 논공읍 북리 1-37번지,그 외 자동차용 신품 부품 제조업 외 4 종,달성1차산업단지관리공단,일반산업단지,"자동차 브레이크부품, 철도관련부품","철판,석면"
6989,달성일반산업단지,상신브레이크(주),대구광역시 달성군 논공읍 논공로91길 52,대구광역시 달성군 논공읍 본리리 29-114번지,비주거용 건물 임대업,달성1차산업단지관리공단,일반산업단지,임대업,임대
6990,대구테크노폴리스일반산업단지,상신브레이크(주),대구광역시 달성군 유가읍 테크노중앙대로 90 외 1필지,대구광역시 달성군 유가읍 상리 922-1 외 1필지,그 외 자동차용 신품 부품 제조업 외 3 종,(재)연구개발특구진흥재단 대구연구개발특구본부 기획경영팀,일반산업단지,자동차 부품,"합성수지, 금속 등"
6991,대구국가산업단지,상신브레이크(주),대구광역시 달성군 구지면 국가산단서로84길 79,대구광역시 달성군 구지면 화산리 1100번지,자동차용 신품 제동장치 제조업,한국산업단지공단 대구지역본부 달성사무소,국가산업단지,자동차브레이크마찰재,"황산바늄, 철강"
6992,대구제3일반산업단지,상신산업,대구광역시 북구 팔달북로 30 (노원동3가),대구광역시 북구 노원동3가 399번지,일반철물 제조업,대구제3산업단지관리공단,일반산업단지,"삽,경첩","철판, 목재"
6993,성서지방산업단지,상신산업사,"대구광역시 달서구 성서공단로25길 62, (2차단지 8B 1L) (갈산동)",대구광역시 달서구 갈산동 358-58번지,비주거용 건물 임대업,대구성서산업단지관리공단,일반산업단지,기계제작,
6994,성서지방산업단지,상신섬유,"대구광역시 달서구 성서서로 273, 1차단지 59B 2L (신당동)",대구광역시 달서구 신당동 1860번지 1차단지 59B 2L,섬유제품 기타 정리 및 마무리 가공업,대구성서산업단지관리공단,일반산업단지,호부처리(싸이징),호부제
6995,대구제3일반산업단지,상신연삭,대구광역시 북구 노원로17길 18 (노원동3가),대구광역시 북구 노원동3가 181-16,절삭가공 및 유사처리업,대구제3산업단지관리공단,일반산업단지,자동차 부품 연삭(기타 기계 부품),금속
6996,성서5차첨단산업단지,상신이엔지(주),"대구광역시 달성군 다사읍 세천로1길 100, (성서5차산업단지내 6B 8L)",대구광역시 달성군 다사읍 세천리 1670-9번지 (성서5차산업단지내 6B 8L),산업용 로봇 제조업,대구성서산업단지관리공단,일반산업단지,자동화기계,
6997,성서지방산업단지,상신정밀,"대구광역시 달서구 성서로 18-8, 2차단지 63B 12-1L (대천동)",대구광역시 달서구 대천동 745 번지 2차단지 63B 12-1L,그 외 자동차용 신품 부품 제조업 외 3 종,대구성서산업단지관리공단,일반산업단지,주형 금형,
6998,,상용산업(주),대구광역시 달성군 논공읍 상리 749-1번지,대구광역시 달성군 논공읍 상리 749-1번지,비금속광물 분쇄물 생산업,대구광역시 달성군,일반,인공골재(쇄석) 돌가루,
6999,,상우섬유,대구광역시 달성군 옥포면 반송길 85,대구광역시 달성군 옥포면 반송리 546번지,연사 및 가공사 제조업,대구광역시 달성군,일반,연사,
