순번,단지명,회사명,공장대표주소(도로명),공장대표주소(지번),업종명,관할조직명,설립구분,생산품,주원자재
4757,서대구일반산업단지,락사(LOCSA),"대구광역시 서구 와룡로72길 27-1, 2층 (중리동)",대구광역시 서구 중리동 1071-5 2층,포장 및 충전업 외 1 종,서대구산업단지관리공단,일반산업단지,소포장 및 전자상거래,
4758,북구검단일반산업단지,락컴퍼니,"대구광역시 북구 검단공단로 26, 107호 (검단동) 107호",대구광역시 북구 검단동 887-62 107호 107호,전시 및 광고용 조명장치 제조업,대구시티밸리산업단지관리공단,일반산업단지,LED전광판,"패널, 전자부품"
4759,서대구일반산업단지,럭키 디앤에스,대구광역시 서구 와룡로87길 35(이현동),대구광역시 서구 이현동 45-265,유리 및 창호 공사업,서대구산업단지관리공단,일반산업단지,창호 공사,
4760,서대구일반산업단지,레드 페이퍼,대구광역시 서구 평리로17길 61(중리동),대구광역시 서구 중리동 1044,안경 및 안경렌즈 제조업,서대구산업단지관리공단,일반산업단지,안경태,플라스틱
4761,대구제3일반산업단지,레드포인트,대구광역시 북구 팔달북로8길 67 (노원동3가),대구광역시 북구 노원동3가 208-5,그 외 기타 봉제의복 제조업 외 2 종,대구제3산업단지관리공단,일반산업단지,"의복, 안경","섬유, 플라스틱"
4762,성서지방산업단지,레시피랩,"대구광역시 달서구 성서공단남로 37, 513호 (월암동) 513호",대구광역시 달서구 월암동 1-224 513호 513호,산업용 로봇 제조업 외 1 종,대구성서산업단지관리공단,일반산업단지,모바일로봇,"철판, 알이미늄 등"
4763,북구검단일반산업단지,레이스갑을,대구광역시 북구 검단동로 17-10 (검단동),대구광역시 북구 검단동 777-1번지,자수제품 및 자수용재료 제조업 외 1 종,대구시티밸리산업단지관리공단,일반산업단지,자수제품,섬유
4764,성서지방산업단지,레이저시티,"대구광역시 달서구 성서공단북로 24, 3차단지 65B 1L (파호동)",대구광역시 달서구 파호동 203번지 3차단지 65B 1L,절삭가공 및 유사처리업,대구성서산업단지관리공단,일반산업단지,레이저가공(자동차부품),스틸
4765,북구검단일반산업단지,레이저프로,"대구광역시 북구 검단동로 45, A동 (검단동)",대구광역시 북구 검단동 700-15번지 A동,전자 응용 절삭기계 제조업,대구시티밸리산업단지관리공단,일반산업단지,"농업용, 산업용 기계 기구 부품","철판, 스텐, 알루미늄"
4766,성서지방산업단지,렉스(RECS),"대구광역시 달서구 성서공단로 46-17, 1동 2층 208호 신기술산업지원센터 (대천동) 1동 2층 208호 신기술산업지원센터호",대구광역시 달서구 대천동 891-5번지 1동 2층 208호 신기술산업지원센터 1동 2층 208호 신기술산업지원센터호,기기용 자동측정 및 제어장치 제조업 외 3 종,대구성서산업단지관리공단,일반산업단지,배전반,철
4767,성서지방산업단지,로아,"대구광역시 달서구 성서공단북로77길 28, (1차단지 29bb 3L) (장동)",대구광역시 달서구 장동 617-5 (1차단지 29bb 3L),기타 직물제품 제조업,대구성서산업단지관리공단,일반산업단지,방진마스크,"부직포, 밸브"
4768,성서지방산업단지,로아종합상사,"대구광역시 달서구 성서공단북로77길 28, (1차단지 29B 3L) (장동)",대구광역시 달서구 장동 617-5 (1차단지 29B 3L),기타 직물제품 제조업,대구성서산업단지관리공단,일반산업단지,방진마스크,천
4769,성서지방산업단지,로얄미다스,"대구광역시 달서구 성서동로61길 16, 1차단지 31B 6L (장기동)",대구광역시 달서구 장기동 180-49번지,기타 운동 및 경기용구 제조업 외 1 종,대구성서산업단지관리공단,일반산업단지,건축용도어및자동차부품,"PVA전사용필름,페인트"
4770,성서지방산업단지,로얄상사,대구광역시 달서구 성서공단로39길 27 (갈산동),대구광역시 달서구 갈산동 358-180번지,면직물 직조업,대구성서산업단지관리공단,일반산업단지,면직물,
4771,성서지방산업단지,로이테크,"대구광역시 달서구 달구벌대로250길 14, 1차 45B 14L (이곡동)",대구광역시 달서구 이곡동 1000-372 1차 45B 14L,그 외 기타 금속가공업,대구성서산업단지관리공단,일반산업단지,몰드 금형,철
4772,성서지방산업단지,로즈트리,"대구광역시 달서구 성서공단북로59길 41, 1차단지 43B 6L (갈산동)",대구광역시 달서구 갈산동 100-20번지 1차단지 43B 6L,수프 및 균질화식품 제조업,대구성서산업단지관리공단,일반산업단지,냉면육수,"조미식품, 설탕, 식초, 포도당"
4773,성서5차첨단산업단지,로테스,"대구광역시 달성군 다사읍 세천로1길 116-3, 5차단지 2B 2L",대구광역시 달성군 다사읍 세천리 1663-6번지 5차단지 2B 2L,산업용 로봇 제조업,대구성서산업단지관리공단,일반산업단지,제조및용접용 로봇,
4774,성서지방산업단지,로하엔지니어링,"대구광역시 달서구 성서로 229, 성서지식산업센터동 3층 301호 (갈산동)",대구광역시 달서구 갈산동 970-9번지 성서지식산업센터동 3층 301호,배전반 및 전기 자동제어반 제조업,대구성서산업단지관리공단,일반산업단지,자동제어기기,
4775,대구이시아폴리스일반산업단지,롯데로지스틱스(주),대구광역시 동구 팔공로53길 96 (봉무동),대구광역시 동구 봉무동 1547번지,일반 창고업 외 1 종,대구시티밸리산업단지관리공단,일반산업단지,창고업,
4776,대구이시아폴리스일반산업단지,롯데제과(주),대구광역시 동구 팔공로53길 96 (봉무동),대구광역시 동구 봉무동 1547번지,일반 창고업 외 1 종,대구시티밸리산업단지관리공단,일반산업단지,보관 및 창고업,
4777,대구금호워터폴리스일반산업단지,롯데칠성음료(주),,대구광역시 북구 검단동 금호워터폴리스 A17,일반 창고업,대구시티밸리산업단지관리공단,일반산업단지,RDC센터,
4778,대구국가산업단지,롯데케미칼(주) 대구공장,대구광역시 달성군 구지면 국가산단대로40길 35,대구광역시 달성군 구지면 응암리 1282-14,액체 여과기 제조업,한국산업단지공단 대구지역본부 달성사무소,국가산업단지,수처리용 분리막 및 모듈,분리막
4779,성서지방산업단지,루넥스(주),"대구광역시 달서구 성서공단로50길 9, 1층,2차단지 26B 1-1L (월암동)","대구광역시 달서구 월암동 1074번지 1층,2차단지 26B 1-1L",일반용 전기 조명장치 제조업,대구성서산업단지관리공단,일반산업단지,LED 조명장치(가로등),전기배선
4780,서대구일반산업단지,루다,"대구광역시 서구 와룡로99길 17, 15동 (이현동)",대구광역시 서구 이현동 42-570 15동,가방 및 기타 보호용 케이스 제조업,서대구산업단지관리공단,일반산업단지,봉제가방,"천(원단), 봉제실 등"
4781,성서지방산업단지,루솔(LUSOL),"대구광역시 달서구 달서대로 559, 12층 1204호 (신당동)",대구광역시 달서구 신당동 1320-2번지,액체 여과기 제조업,대구성서산업단지관리공단,지식산업센터,오일미스트,
4782,달성일반산업단지,루트텍,대구광역시 달성군 논공읍 논공로 369,대구광역시 달성군 논공읍 북리 1-78번지,자동차 엔진용 신품 부품 제조업 외 1 종,달성1차산업단지관리공단,일반산업단지,"플레이트 류, 하이징 류",알루미늄
4783,대구국가산업단지,루트텍,대구광역시 달성군 구지면 국가산단대로49길 79,대구광역시 달성군 구지면 창리 1376-3,그 외 자동차용 신품 부품 제조업,한국산업단지공단 대구지역본부 달성사무소,국가산업단지,"자동차용 하우징 류, 가전용 플레이트 류",알루미늄
4784,대구제3일반산업단지,류강금속,대구광역시 북구 노원로1길 84-6 (노원동3가),대구광역시 북구 노원동3가 230번지,도금업,대구제3산업단지관리공단,일반산업단지,기계부품,
4785,서대구일반산업단지,르노삼성 자동차(주) 대구사업소,"대구광역시 서구 와룡로 392, 중리동 1056 (중리동, 삼성자동차대구중리점) 외 2필지",대구광역시 서구 중리동 1056번지 삼성자동차대구중리점 중리동 1056 외 2필지,자동차 전문 수리업 외 1 종,서대구산업단지관리공단,일반산업단지,자동차 판매 및 정비,
4786,서대구일반산업단지,르노삼성 자동차(주) 대구사업소,"대구광역시 서구 와룡로 392, 중리동 1056 (중리동, 삼성자동차대구중리점) 외 2필지",대구광역시 서구 중리동 1056번지 삼성자동차대구중리점 중리동 1056 외 2필지,자동차 전문 수리업 외 1 종,서대구산업단지관리공단,일반산업단지,자동차 정비 및 판매,
4787,성서지방산업단지,르블랑침구,"대구광역시 달서구 성서공단북로69길 40, 1차단지 32B 1L(갈산동)",대구광역시 달서구 갈산동 27 1차단지 32B 1L,침구 및 관련제품 제조업 외 1 종,대구성서산업단지관리공단,일반산업단지,침구류,"면원단,세미마이크로원단,지퍼,폴리에스터 솜"
