연번,회사명,사업유형,사업자등록번호,공장 주소,업종명,생산품
486,(주)와이에스엠,제조업,5928702041,"인천광역시 부평구 부평대로 337, 8층 812호(청천동, 부평 제이타워3차 지식산업센터) 8층 812호 외 1필지",기타 전기 변환장치 제조업 외 2 종,"스마트기계 충전기, 안내전광판"
487,(주)와이지- 원,제조업,1228116515,인천광역시 부평구 청천동 414-1번지,톱 및 호환성 공구 제조업 외 1 종,절삭공구
488,(주)와이지-원,제조업,1228116515,인천광역시 부평구 부평북로 32 (청천동),톱 및 호환성 공구 제조업,"엔드밀, 드릴"
489,(주)와이지-원 제2공장,제조업,7468501489,"인천광역시 부평구 세월천로 211 (청천동, 와이지-원)",톱 및 호환성 공구 제조업 외 2 종,절삭공구
490,(주)용호,제조업,1228634691,인천광역시 부평구 새벌로 28 (청천동),"플라스틱 선, 봉, 관 및 호스 제조업",입상관 고정틀 외
491,(주)용호,제조업,1308657278,"인천광역시 부평구 경인로 1039, 3층(부개동)",남자용 겉옷 제조업 외 8 종,"남자용 겉옷, 근무복 및 작업복 외"
492,(주)우리일렉,제조업,1308648181,"인천광역시 부평구 부평북로 297, 3층 (갈산동)",전기식 진단 및 요법 기기 제조업 외 1 종,"혈당측정기, 블루투스 스피커"
493,(주)우리젠,제조업,1138190302,"인천광역시 부평구 부평대로 337, 12층 1205호(청천동, 부평 제이타워3차 지식산업센터) 12층 1205호",배전반 및 전기 자동제어반 제조업,빌딩자동제어장치
494,(주)우리티에스,제조업,3648600363,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 B1층 B107호",그 외 기타 전자부품 제조업,"산업용양면테이프	"
495,(주)우민일렉트로닉스,제조업,1228623398,인천광역시 부평구 부평대로329번길 22 (청천동),유선 통신장비 제조업,전자통신기기
496,(주)우성고분자,제조업,1228624999,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동동 6층 643호",접착제 및 젤라틴 제조업,전도성 접착제
497,(주)우성씨앤에이,제조업,1208731716,"인천광역시 부평구 서달로298번길 73, 3층(청천동)",오락 및 스포츠용 보트 건조업 외 2 종,공기주입식 보트 및 팽창식 구명의 등
498,(주)우성아이비,제조업,1048653711,인천광역시 부평구 부평북로 297 (갈산동),오락 및 스포츠용 보트 건조업 외 9 종,공기주입식 물놀이기구 외
499,(주)우성인터내셔날,제조업,1178170593,"인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 603호,604호",그 외 기타 의복액세서리 제조업 외 2 종,"지갑,벨트, 각종 케이스"
500,(주)우진정공,제조업,1228543290,인천광역시 부평구 안남로 379 (청천동),그 외 자동차용 신품 부품 제조업 외 3 종,자동차 부품
501,(주)우진피앤티,제조업,1228623971,인천광역시 부평구 부평북로 229 (청천동),그 외 자동차용 신품 부품 제조업 외 8 종,"자동차부품, 운송장비 조립용 플라스틱제품 제조업"
502,(주)원더랩,제조업,1098700666,"인천광역시 부평구 부평대로 301, 9층 908호(청천동, 남광센트렉스) 9층 908호",그 외 기타 전기장비 제조업,"수소수기, 이온수기"
503,(주)원삼메디,제조업,1218631838,"인천광역시 부평구 가재울로 161, 2층 202호 (십정동)",그 외 기타 플라스틱 제품 제조업,발뒤꿈패드
504,(주)원신,제조업,4898601109,"인천광역시 부평구 세월천로 35, 5층(청천동, 명성월드프라자)",남자용 겉옷 제조업 외 1 종,"남성용 겉옷, 근무복, 작업복 외"
505,(주)원영,제조업,3218602044,"인천광역시 부평구 부평대로 301, B1층 B116-2호(청천동, 남광센트렉스) B1층 B116-2호",비동력식 수공구 제조업 외 1 종,사출성형기 부품가공
506,(주)원테크컴퍼니,제조업,5368601614,"인천광역시 부평구 청천마차로 78, 2동 (청천동)",그 외 기타 금속가공업,"CCTV 폴대, 반도체 장비 프레임 외"
507,(주)원흥,제조업,1228629257,인천광역시 부평구 백범로568번길 35 (십정동) 257-2외1필지,인쇄회로기판용 적층판 제조업 외 2 종,인쇄회로기판
508,(주)월드넷코리아,제조업,1318158391,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 5층 504-B호",방송장비 제조업 외 2 종,영상감시장치
509,(주)월드씨앤피,제조업,1228176828,인천광역시 부평구 부평북로 171 (청천동),주형 및 금형 제조업,사출형금형
510,(주)월드페이퍼텍,제조업,1228166733,인천광역시 부평구 백범로604번길 34 (십정동),화장품 제조업 외 2 종,"티슈, 물티슈, 보건용 마스크"
511,(주)웬덴,제조업,6818602344,"인천광역시 부평구 청농로 47-2, 와이지원 내 1층(청천동)",톱 및 호환성 공구 제조업,앤드밀
512,(주)웰라인시스템,제조업,,"인천광역시 부평구 주부토로 236,(갈산동) 제비동 7층 710호 외 2필지",전자부품 실장기판 제조업,PCB ASSY
513,(주)웰크론헬스케어,제조업,1218155266,인천광역시 부평구 백범로603번길 5 (십정동),위생용 종이제품 제조업 외 2 종,"여성위생생리대, 보건용 마스크"
514,(주)웰펀라이프,제조업,1228194883,인천광역시 부평구 길주로508번길 50 (청천동),목재 도구 및 주방용 나무제품 제조업 외 2 종,"부엌가구, 신발장 외"
515,(주)위너텍,제조업,7458700142,"인천광역시 부평구 부평북로 187, (주)위너텍 (청천동)",액정 표시장치 제조업,LED 액정표시장치 제조
516,(주)위코리아,제조업,2678701957,"인천광역시 부평구 주부토로 236, c동 311호(갈산동, 인천테크노밸리 U1센터) c동 311호",기타 물품 취급장비 제조업 외 1 종,엘리베이터 도어안전센서
517,(주)위플랜트,제조업,,"인천광역시 부평구 주부토로 236,(갈산동, 인천테크노밸리 U1센터) 제시동 7층 711호",가정용 및 장식용 도자기 제조업,생분해성 화분
518,(주)유니크뉴텍,제조업,1318168924,인천광역시 부평구 안남로 373-1 (청천동),그 외 기타 금속가공업,자동차 부품
519,(주)유림코비스,제조업,1318631285,"인천광역시 부평구 부평대로 301 5층 516호 (청천동, 남광센트렉스) 5층 516호",액체 여과기 제조업,"공기정화기, 냉온수기"
520,(주)유브이디에스,제조업,8768100124,"인천광역시 부평구 부평대로 337, 4층 401호(청천동, 부평 제이타워3차 지식산업센터) 4층 401호 외 5필지",기타 인쇄업 외 7 종,"실사출력, 주방아트보드, 간판, 안내판"
521,(주)유비시스코리아,제조업,1228198195,인천광역시 부평구 평천로 51 외 1필지,플라스틱 접착처리 제품 제조업 외 2 종,에어컨 커버 및 버튼부 UV 표면처리
522,(주)유비텍,제조업,1518800096,"인천광역시 부평구 서달로298번길 73, 2층,3층 (청천동)",플라스틱 접착처리 제품 제조업 외 1 종,플라스틱 접착처리 제품 제조 외
523,(주)유어존,제조업,7158700933,"인천광역시 부평구 주부토로 236,(갈산동, 인천테크노밸리 U1센터) C동 1층 104호",전시 및 광고용 조명장치 제조업,"DID 스탠드 모니터, LED DISPLAY"
524,(주)유에스,제조업,7618700329,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 7층 706호",방송장비 제조업,CCTV
525,(주)유에스알랩,제조업,1228611397,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) A동 6층 602호",전자 악기 제조업,전자악기
526,(주)유원아이씨티,제조업,1228643910,인천광역시 부평구 부평대로 301 (청천동) 남광센트렉스 6층 615호,방송장비 제조업 외 7 종,"구내 방송장비, 영상감시장치 등"
527,(주)유원아이씨티,제조업,1228643910,인천광역시 부평구 부평대로 283 (청천동) 부평우림라이온스밸리 B동 B2층 B223호,방송장비 제조업 외 7 종,"구내방송장비, 영상감시장치 등"
528,(주)유일특수강,제조업,1308189358,"인천광역시 부평구 안남로 430, 414 (청천동) 외 3필지",주형 및 금형 제조업 외 1 종,"철강금형, 절삭가공품"
529,(주)유진시스템코리아,제조업,1228642944,인천광역시 부평구 부평북로 381 (삼산동),방송장비 제조업,감시용카메라
530,(주)유진일렉트로닉스,제조업,7248601453,"인천광역시 부평구 부평대로 283,(청천동, 부평우림라이온스밸리) C동 7층 706호",일반용 전기 조명장치 제조업 외 1 종,"등명기, 태양전지조절기"
531,(주)유코리아,제조업,1228181262,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동동 7층 737호 외 1필지",기타 무선 통신장비 제조업,무선케이트웨이
532,(주)유통몬스터,제조업,4298101631,"인천광역시 부평구 영성중로 50, 109~113호(삼산동, 미래타워)",빵류 제조업,"카스테라, 소금빵, 마늘빵, 바게트. 스콘 외"
533,(주)유피앤아이,제조업,2018161690,"인천광역시 부평구 부평북로236번길 12, 3층(청천동)",침구 및 관련제품 제조업 외 18 종,"의류 및 의류 액세서리, 침구 등"
534,(주)이기엔터프라이즈,제조업,6348100082,"인천광역시 부평구 부평대로329번길 3, 301호 (청천동)",그 외 자동차용 신품 부품 제조업 외 3 종,시트커버
535,(주)이노벡코리아,제조업,1228634804,인천광역시 부평구 안남로433번길 7(청천동),"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업 외 1 종","진공증착 제품, 필름"
536,(주)이노테크미디어,제조업,2048608699,"인천광역시 부평구 부평대로 283, B동 4층 406호 (청천동, 부평 우림라이온스밸리)",전자부품 실장기판 제조업,
537,(주)이다한,제조업,8708701433,"인천광역시 부평구 새벌로 29 7층 703호 (청천동, 부평테크노타워) 7층 703호",화학 살균.살충제 및 농업용 약제 제조업 외 1 종,"향기좋은날 탈취제, 포장 등"
538,(주)이랜드월드,제조업,1228527515,인천광역시 부평구 부평대로313번길 63 (청천동),속옷 및 잠옷 제조업 외 5 종,"의류제조, 식품제조"
539,(주)이랜드이츠,제조업,5148601083,인천광역시 부평구 부평대로313번길 63 (청천동),커피 가공업 외 2 종,"커피원두,육수,스파게티소스"
540,(주)이로즈,제조업,2768801657,"인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 527,528호",비디오 및 기타 영상기기 제조업,"영상기기(키오스크,멀티비전)"
541,(주)이로즈디스플레이,제조업,1228617294,인천광역시 부평구 길주로388번길 10 (산곡동),비디오 및 기타 영상기기 제조업,디지털 영상기기
542,(주)이룸에스엔에스,제조업,2238118271,"인천광역시 부평구 주부토로 236,(갈산동) 제디동 7층 706호 외 1필지",유선 통신장비 제조업 외 6 종,"유선 통신장비, 비상벨, 비상벨 서버, LED 외"
543,(주)이룸에스엔에스,제조업,2238118271,"인천광역시 부평구 부평대로 283,(청천동, 부평우림라이온스밸리) B동 6층 603-B호",유선 통신장비 제조업 외 6 종,"VoIP 비상벨 시스템, CCTV, NTP TIME SERVER 등 "
544,(주)이룸팩토리,제조업,3778600597,"인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 12층 1201호, 1202호","치약, 비누 및 기타 세제 제조업 외 1 종","비누, 화장품"
545,(주)이브자리,제조업,1058142298,"인천광역시 부평구 백범로 557, (주)이브자리 (십정동) 외 2필지",침구 및 관련제품 제조업,침구 및 관련제품
546,(주)이솔산업,제조업,1228638829,인천광역시 부평구 부평북로 83 (청천동),그 외 기타 플라스틱 제품 제조업,"휴대폰 보호 케이스 및 액세서리, 화장품 용기 케이스"
547,(주)이솔산업,제조업,1228638829,"인천광역시 부평구 안남로402번길 58, 3층(청천동)",그 외 기타 플라스틱 제품 제조업,"플라스틱 제품 제조, 포장"
548,(주)이솔산업,제조업,1228638829,"인천광역시 부평구 안남로402번길 76, 2층(청천동)",그 외 기타 플라스틱 제품 제조업,"플라스틱 제품 제조, 포장"
549,(주)이에프하이드로,제조업,8238801638,인천광역시 부평구 부평대로 283 (청천동) 부평우림라이온스밸리 C동 5층 505호,"치약, 비누 및 기타 세제 제조업 외 3 종","확산제, 탈취제, 유연제 "
550,(주)이엔강,제조업,5338600580,"인천광역시 부평구 부평대로 301 9층 907호 (청천동, 남광센트렉스) 9층 907호",그 외 기타 의료용 기기 제조업,의료기기
551,(주)이엔비리서치,제조업,2518102264,"인천광역시 부평구 주부토로 236,(갈산동) 제시동 10층 1007호",그 외 기타 분류 안된 화학제품 제조업,유전자 전기영동용 아가로즈 겔
552,(주)이엔지,제조업,5188101061,인천광역시 부평구 청천마차로 18 (청천동),금속 가구 제조업 외 4 종,금속가공품
553,(주)이엘에스,제조업,1318195886,"인천광역시 부평구 부평대로 301 7층 715호 (청천동, 남광센트렉스) 7층 715호",일반용 전기 조명장치 제조업 외 6 종,일반용조명장치
